index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-52ee2dd5-a546-4957-ee5d-79e80ab74f5f,525.147.05,NVIDIA GeForce RTX 3090,[N/A],Disabled,Disabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,24576,8,24251,2023/12/13 14:54:55.538
0,4,24576,630,23629,2023/12/13 14:55:00.583
0,98,24576,20476,3783,2023/12/13 14:55:05.629
0,99,24576,20476,3783,2023/12/13 14:55:10.674
0,99,24576,20476,3783,2023/12/13 14:55:15.719
0,0,24576,20476,3783,2023/12/13 14:55:20.766
0,29,24576,20476,3783,2023/12/13 14:55:25.814
0,55,24576,20476,3783,2023/12/13 14:55:30.858
0,46,24576,20476,3783,2023/12/13 14:55:35.903
0,99,24576,20476,3783,2023/12/13 14:55:40.947
0,0,24576,20476,3783,2023/12/13 14:55:45.990
0,0,24576,20476,3783,2023/12/13 14:55:51.039
0,98,24576,20476,3783,2023/12/13 14:55:56.081
0,99,24576,20476,3783,2023/12/13 14:56:01.125
0,99,24576,20476,3783,2023/12/13 14:56:06.169
0,0,24576,20476,3783,2023/12/13 14:56:11.214
0,57,24576,20476,3783,2023/12/13 14:56:16.258
0,99,24576,20476,3783,2023/12/13 14:56:21.302
0,99,24576,20476,3783,2023/12/13 14:56:26.346
0,75,24576,20476,3783,2023/12/13 14:56:31.390
0,25,24576,20476,3783,2023/12/13 14:56:36.428
0,0,24576,20476,3783,2023/12/13 14:56:41.475
0,29,24576,20476,3783,2023/12/13 14:56:46.521
0,99,24576,20476,3783,2023/12/13 14:56:51.566
0,61,24576,20476,3783,2023/12/13 14:56:56.616
0,47,24576,20476,3783,2023/12/13 14:57:01.664
0,99,24576,20476,3783,2023/12/13 14:57:06.708
0,98,24576,20476,3783,2023/12/13 14:57:11.760
0,99,24576,20476,3783,2023/12/13 14:57:16.808
0,99,24576,20476,3783,2023/12/13 14:57:21.854
0,57,24576,20476,3783,2023/12/13 14:57:26.902
0,0,24576,20476,3783,2023/12/13 14:57:31.946
0,12,24576,20476,3783,2023/12/13 14:57:36.998
0,98,24576,20476,3783,2023/12/13 14:57:42.042
0,99,24576,20476,3783,2023/12/13 14:57:47.087
0,98,24576,20476,3783,2023/12/13 14:57:52.133
0,64,24576,20476,3783,2023/12/13 14:57:57.179
0,98,24576,20476,3783,2023/12/13 14:58:02.228
0,99,24576,20476,3783,2023/12/13 14:58:07.274
0,99,24576,20476,3783,2023/12/13 14:58:12.320
0,99,24576,20476,3783,2023/12/13 14:58:17.365
0,99,24576,20476,3783,2023/12/13 14:58:22.414
0,98,24576,20476,3783,2023/12/13 14:58:27.458
0,99,24576,20476,3783,2023/12/13 14:58:32.506
0,99,24576,20476,3783,2023/12/13 14:58:37.550
0,99,24576,20476,3783,2023/12/13 14:58:42.598
0,98,24576,20476,3783,2023/12/13 14:58:47.645
0,84,24576,20476,3783,2023/12/13 14:58:52.695
0,99,24576,20476,3783,2023/12/13 14:58:57.741
0,93,24576,20476,3783,2023/12/13 14:59:02.788
0,98,24576,20476,3783,2023/12/13 14:59:07.834
0,99,24576,20476,3783,2023/12/13 14:59:12.881
0,99,24576,20476,3783,2023/12/13 14:59:17.929
0,98,24576,20476,3783,2023/12/13 14:59:22.974
0,99,24576,20476,3783,2023/12/13 14:59:28.018
0,98,24576,20476,3783,2023/12/13 14:59:33.071
0,98,24576,20476,3783,2023/12/13 14:59:38.121
0,0,24576,20476,3783,2023/12/13 14:59:43.167
0,98,24576,20476,3783,2023/12/13 14:59:48.215
0,98,24576,20476,3783,2023/12/13 14:59:53.260
0,99,24576,20476,3783,2023/12/13 14:59:58.302
0,99,24576,20476,3783,2023/12/13 15:00:03.345
0,99,24576,20476,3783,2023/12/13 15:00:08.390
0,99,24576,20476,3783,2023/12/13 15:00:13.434
0,98,24576,20476,3783,2023/12/13 15:00:18.480
0,76,24576,20476,3783,2023/12/13 15:00:23.527
0,98,24576,20476,3783,2023/12/13 15:00:28.574
0,99,24576,20476,3783,2023/12/13 15:00:33.621
0,71,24576,20476,3783,2023/12/13 15:00:38.669
0,81,24576,20476,3783,2023/12/13 15:00:43.716
0,99,24576,20476,3783,2023/12/13 15:00:48.777
0,0,24576,20476,3783,2023/12/13 15:00:53.824
0,82,24576,20476,3783,2023/12/13 15:00:58.871
0,95,24576,20476,3783,2023/12/13 15:01:03.916
0,59,24576,20476,3783,2023/12/13 15:01:08.966
0,99,24576,20476,3783,2023/12/13 15:01:14.013
0,98,24576,20476,3783,2023/12/13 15:01:19.060
0,99,24576,20476,3783,2023/12/13 15:01:24.106
0,99,24576,20476,3783,2023/12/13 15:01:29.151
0,99,24576,20476,3783,2023/12/13 15:01:34.199
0,82,24576,20476,3783,2023/12/13 15:01:39.247
0,99,24576,20476,3783,2023/12/13 15:01:44.289
0,99,24576,20476,3783,2023/12/13 15:01:49.334
0,99,24576,20476,3783,2023/12/13 15:01:54.382
0,98,24576,20476,3783,2023/12/13 15:01:59.428
0,99,24576,20476,3783,2023/12/13 15:02:04.476
0,0,24576,20476,3783,2023/12/13 15:02:09.526
0,80,24576,20476,3783,2023/12/13 15:02:14.573
0,0,24576,20476,3783,2023/12/13 15:02:19.621
0,56,24576,20476,3783,2023/12/13 15:02:24.667
0,92,24576,20476,3783,2023/12/13 15:02:29.716
0,99,24576,20476,3783,2023/12/13 15:02:34.760
0,48,24576,20476,3783,2023/12/13 15:02:39.806
0,99,24576,20476,3783,2023/12/13 15:02:44.855
0,99,24576,20476,3783,2023/12/13 15:02:49.900
0,99,24576,20476,3783,2023/12/13 15:02:54.945
0,99,24576,20476,3783,2023/12/13 15:02:59.991
0,99,24576,20476,3783,2023/12/13 15:03:05.039
0,5,24576,20476,3783,2023/12/13 15:03:10.084
0,0,24576,20476,3783,2023/12/13 15:03:15.131
0,0,24576,20476,3783,2023/12/13 15:03:20.178
0,20,24576,20476,3783,2023/12/13 15:03:25.230
0,8,24576,20476,3783,2023/12/13 15:03:30.280
0,99,24576,20476,3783,2023/12/13 15:03:35.332
0,0,24576,20476,3783,2023/12/13 15:03:40.368
0,49,24576,20476,3783,2023/12/13 15:03:45.409
0,0,24576,20476,3783,2023/12/13 15:03:50.453
0,4,24576,20476,3783,2023/12/13 15:03:55.498
0,0,24576,20476,3783,2023/12/13 15:04:00.544
0,27,24576,20476,3783,2023/12/13 15:04:05.589
0,0,24576,20476,3783,2023/12/13 15:04:10.634
0,97,24576,20476,3783,2023/12/13 15:04:15.677
0,0,24576,20476,3783,2023/12/13 15:04:20.724
0,0,24576,20476,3783,2023/12/13 15:04:25.771
0,94,24576,20476,3783,2023/12/13 15:04:30.816
0,0,24576,20476,3783,2023/12/13 15:04:35.862
0,0,24576,20476,3783,2023/12/13 15:04:40.908
0,0,24576,20476,3783,2023/12/13 15:04:45.953
0,81,24576,20476,3783,2023/12/13 15:04:50.998
0,0,24576,20476,3783,2023/12/13 15:04:56.045
0,39,24576,20476,3783,2023/12/13 15:05:01.089
0,0,24576,20476,3783,2023/12/13 15:05:06.138
0,0,24576,20476,3783,2023/12/13 15:05:11.183
0,61,24576,20476,3783,2023/12/13 15:05:16.230
0,0,24576,20476,3783,2023/12/13 15:05:21.277
0,67,24576,20476,3783,2023/12/13 15:05:26.322
0,48,24576,20476,3783,2023/12/13 15:05:31.369
0,28,24576,20476,3783,2023/12/13 15:05:36.415
0,0,24576,20476,3783,2023/12/13 15:05:41.462
0,0,24576,20476,3783,2023/12/13 15:05:46.510
0,98,24576,20476,3783,2023/12/13 15:05:51.557
0,79,24576,20476,3783,2023/12/13 15:05:56.602
0,71,24576,20476,3783,2023/12/13 15:06:01.646
0,75,24576,20476,3783,2023/12/13 15:06:06.691
0,0,24576,20476,3783,2023/12/13 15:06:11.737
0,56,24576,20476,3783,2023/12/13 15:06:16.781
0,25,24576,20476,3783,2023/12/13 15:06:21.833
0,98,24576,20476,3783,2023/12/13 15:06:26.883
0,0,24576,20476,3783,2023/12/13 15:06:31.929
0,98,24576,20476,3783,2023/12/13 15:06:36.973
0,57,24576,20476,3783,2023/12/13 15:06:42.016
0,20,24576,20476,3783,2023/12/13 15:06:47.061
0,70,24576,20476,3783,2023/12/13 15:06:52.104
0,0,24576,20476,3783,2023/12/13 15:06:57.151
0,0,24576,20476,3783,2023/12/13 15:07:02.194
0,0,24576,20476,3783,2023/12/13 15:07:07.243
0,98,24576,20476,3783,2023/12/13 15:07:12.289
0,0,24576,20476,3783,2023/12/13 15:07:17.334
0,0,24576,20476,3783,2023/12/13 15:07:22.378
0,0,24576,20476,3783,2023/12/13 15:07:27.424
0,98,24576,20476,3783,2023/12/13 15:07:32.469
0,39,24576,20476,3783,2023/12/13 15:07:37.515
0,99,24576,20476,3783,2023/12/13 15:07:42.561
0,99,24576,20476,3783,2023/12/13 15:07:47.604
0,85,24576,20476,3783,2023/12/13 15:07:52.650
0,96,24576,20476,3783,2023/12/13 15:07:57.697
0,99,24576,20476,3783,2023/12/13 15:08:02.744
0,99,24576,20476,3783,2023/12/13 15:08:07.792
0,98,24576,20476,3783,2023/12/13 15:08:12.838
0,97,24576,20476,3783,2023/12/13 15:08:17.887
0,98,24576,20476,3783,2023/12/13 15:08:22.933
0,14,24576,20476,3783,2023/12/13 15:08:27.977
0,0,24576,20476,3783,2023/12/13 15:08:33.019
0,98,24576,20476,3783,2023/12/13 15:08:38.065
0,0,24576,20476,3783,2023/12/13 15:08:43.115
0,0,24576,20476,3783,2023/12/13 15:08:48.159
0,99,24576,20476,3783,2023/12/13 15:08:53.204
0,0,24576,20476,3783,2023/12/13 15:08:58.252
0,98,24576,20476,3783,2023/12/13 15:09:03.307
0,49,24576,20476,3783,2023/12/13 15:09:08.355
0,0,24576,20476,3783,2023/12/13 15:09:13.401
0,0,24576,20476,3783,2023/12/13 15:09:18.446
0,62,24576,20476,3783,2023/12/13 15:09:23.493
0,99,24576,20476,3783,2023/12/13 15:09:28.538
0,63,24576,20476,3783,2023/12/13 15:09:33.582
0,99,24576,20476,3783,2023/12/13 15:09:38.624
0,98,24576,20476,3783,2023/12/13 15:09:43.671
0,81,24576,20476,3783,2023/12/13 15:09:48.718
0,98,24576,20476,3783,2023/12/13 15:09:53.763
0,0,24576,20476,3783,2023/12/13 15:09:58.811
0,25,24576,20476,3783,2023/12/13 15:10:03.856
0,99,24576,20476,3783,2023/12/13 15:10:08.903
0,99,24576,20476,3783,2023/12/13 15:10:13.949
0,51,24576,20476,3783,2023/12/13 15:10:18.993
0,0,24576,20476,3783,2023/12/13 15:10:24.040
0,98,24576,20476,3783,2023/12/13 15:10:29.086
0,25,24576,20476,3783,2023/12/13 15:10:34.136
0,98,24576,20476,3783,2023/12/13 15:10:39.180
0,98,24576,20476,3783,2023/12/13 15:10:44.226
0,37,24576,20476,3783,2023/12/13 15:10:49.272
0,99,24576,20476,3783,2023/12/13 15:10:54.317
0,99,24576,20476,3783,2023/12/13 15:10:59.362
0,99,24576,20476,3783,2023/12/13 15:11:04.411
0,0,24576,20476,3783,2023/12/13 15:11:09.455
0,0,24576,20476,3783,2023/12/13 15:11:14.504
0,99,24576,20476,3783,2023/12/13 15:11:19.549
0,97,24576,20476,3783,2023/12/13 15:11:24.595
0,0,24576,20476,3783,2023/12/13 15:11:29.637
0,99,24576,20476,3783,2023/12/13 15:11:34.682
0,71,24576,20476,3783,2023/12/13 15:11:39.728
0,35,24576,20476,3783,2023/12/13 15:11:44.775
0,77,24576,20476,3783,2023/12/13 15:11:49.820
0,99,24576,20476,3783,2023/12/13 15:11:54.861
0,0,24576,20476,3783,2023/12/13 15:11:59.907
0,0,24576,20476,3783,2023/12/13 15:12:04.953
0,69,24576,20476,3783,2023/12/13 15:12:10.000
